category_id,category_name_pt,category_name_en,translation_status,product_count,order_item_count,merchandise_value
market_place,market_place,market_place,source_translation,104,311,28378.47
moveis_colchao_e_estofado,moveis_colchao_e_estofado,furniture_mattress_and_upholstery,source_translation,10,38,4368.08
moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,source_translation,94,281,46328.37
moveis_decoracao,moveis_decoracao,furniture_decor,source_translation,2657,8334,729762.49
moveis_escritorio,moveis_escritorio,office_furniture,source_translation,309,1691,273960.70
moveis_quarto,moveis_quarto,furniture_bedroom,source_translation,45,109,20028.78
moveis_sala,moveis_sala,furniture_living_room,source_translation,156,503,68916.56
musica,musica,music,source_translation,27,38,6034.35
papelaria,papelaria,stationery,source_translation,849,2517,230943.23
pc_gamer,pc_gamer,pc_gamer,portuguese_source_fallback,3,9,1545.95
pcs,pcs,computers,source_translation,30,203,222963.13
perfumaria,perfumaria,perfumery,source_translation,868,3419,399124.87
pet_shop,pet_shop,pet_shop,source_translation,719,1947,214315.41
portateis_casa_forno_e_cafe,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,source_translation,31,76,47445.71
portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,portuguese_source_fallback,10,15,3968.53
relogios_presentes,relogios_presentes,watches_gifts,source_translation,1329,5991,1205005.68
seguros_e_servicos,seguros_e_servicos,security_and_services,source_translation,2,2,283.29
sinalizacao_e_seguranca,sinalizacao_e_seguranca,signaling_and_security,source_translation,93,199,21509.23
tablets_impressao_imagem,tablets_impressao_imagem,tablets_printing_image,source_translation,9,83,7528.41
telefonia,telefonia,telephony,source_translation,1134,4545,323667.53
telefonia_fixa,telefonia_fixa,fixed_telephony,source_translation,116,264,59583.00
utilidades_domesticas,utilidades_domesticas,housewares,source_translation,2335,6964,632248.66
